Meteorological_drought_beg_date,Meteorological_drought_end_date,Hydrological_drought_beg_date,Hydrological_drought_end_date,Days
1983-02-13,1984-07-08,1983-11-24,1984-07-08,284
1984-10-22,1986-08-27,1986-02-13,1986-08-27,479
1985-10-15,1986-08-27,1986-02-13,1986-08-27,121
1987-11-01,1991-01-06,1989-04-28,1991-01-06,544
1990-01-22,1991-12-29,1991-05-16,1991-12-29,479
1992-05-16,1994-04-22,1993-07-04,1994-04-22,414
1996-02-10,2003-02-12,2002-10-05,2003-02-12,2429
1997-05-10,2003-02-12,2002-10-05,2003-02-12,1974
1999-03-23,2003-02-12,2002-10-05,2003-02-12,1292
2001-03-07,2003-02-12,2002-10-05,2003-02-12,577
2002-07-08,2003-02-12,2002-10-05,2003-02-12,89
2003-12-10,2005-06-06,2004-12-25,2005-06-06,381
2004-10-30,2005-06-06,2004-12-25,2005-06-06,56
