"","event.no","start","time","end","volume","duration","dbt","qmin","tqmin"
"2",2,1979-01-09,1979-01-17,1979-01-17,7.19771192812064,9,9,-0.913858470159821,1979-01-16
"3",3,1979-01-22,1979-01-30,1979-01-30,7.39479723500646,9,9,-0.938890640904847,1979-01-30
"4",4,1979-02-03,1979-02-10,1979-02-10,6.18227432611394,8,8,-0.913858470159821,1979-02-09
"5",5,1979-02-14,1979-02-22,1979-02-22,8.06196914035049,9,9,-1.26396903268755,1979-02-15
"6",6,1979-02-27,1979-03-06,1979-03-06,5.93915537948201,8,8,-0.913858470159821,1979-03-05
"7",7,1979-03-09,1979-03-18,1979-03-18,6.96275521967136,10,10,-0.913858470159821,1979-03-17
"9",9,1979-03-24,1979-03-30,1979-03-30,5.93355412390992,7,7,-0.913858470159821,1979-03-29
"10",10,1979-04-03,1979-04-24,1979-04-24,18.7276789826206,22,21,-1.81646917868416,1979-04-24
"12",12,1979-04-29,1979-05-18,1979-05-18,16.342710188089,20,19,-1.81646917868416,1979-05-18
"14",14,1979-05-22,1979-05-29,1979-05-29,6.29602143669132,8,8,-1.0826243181946,1979-05-22
"17",17,1979-06-15,1979-06-24,1979-06-24,6.8876205396684,10,10,-1.11104344462579,1979-06-15
"20",20,1979-07-12,1979-07-19,1979-07-19,6.68581500963398,8,8,-1.0958236983715,1979-07-18
"29",29,1979-09-27,1979-10-01,1979-10-01,5.08517501539791,5,5,-1.42749563675452,1979-09-29
"30",30,1979-10-09,1979-10-13,1979-10-13,4.38093448144357,5,5,-1.54013828100336,1979-10-12
"31",31,1979-10-22,1979-10-27,1979-10-27,7.2600035834765,6,6,-1.64373291214628,1979-10-24
"32",32,1979-11-02,1979-11-09,1979-11-09,3.19181268775233,8,8,-1.53170857965227,1979-11-03
