Discharge location,lat,lon
Bawapuram,15.802,77.85
cholachguda,15.879,75.71
Halia,16.81,79.913
Hoovinahole,13.891,76.815
karad,17.276,74.2
keesara,16.853,80.312
kuppelur,14.487,75.613
kurunwad,16.681,74.591
madhira,16.924,74.591
Malkhed,17.179,80.369
Mantralayam,15.941,77.426
Marol,14.921,75.32
Paleru bridge,17.314,79.873
Phulgaon,18.656,74.015
Pondugala,16.68,79.664
Shimoga,13.93,75.568
T Ramapuram,15.723,76.815
Takli,17.302,75.727
Vijayawada,16.506,80.648
wadwnapalli,16.813,81.234
Arjunwad,16.211,74.568
Bagalkot,16.173,75.656
Byaladahalli,14.312,75.815
Daddi,16.066,74.439
Dhannur,16.15,76.091
Gokak falls,16.192,74.777
Gotur,17.359,77.105
Haralahalli,14.332,75.78
Honnali,14.234,75.697
Huvinhedigi,16.503,76.852
kellodu,13.812,76.423
koyana,17.607,73.889
Lakkavali,17.701,75.654
Morvande,17.685,75.411
Narasingpur,17.915,75.125
Oollennur,15.518,76.812
Sadalga,16.553,74.532
Sarati,17.802,74.823
Samdoli,16.725,74.321
Talikot,16.478,76.311
Terwad,16.666,74.579
Vandur,16.55,74.287
wadakbal,17.534,75.881
yadagir,16.76,77.143
yaparla,16.054,78.067
GOKAVARAM_SPI,16,81
ADIGAPALO_SPI,16,79
AMARAVATHI_SPI,16,80
DACHEPALLE_SPI,16,79
DUGGIRALA_SPI,16,80
DURGI_SPI,16,79
GURJALA%GURUJALAREV_SPI,16,79
KARAMPUDI_SPI,16,79
KAREMPUDI_SPI,16,79
MACHARLA_SPI,16,79
MADIPADU_SPI,16,80
MANGALGIRI_SPI,16,80
NAGARAM_SPI,17,79
NAKRIKALLU_SPI,17,79
NUZENDLA_SPI,16,80
PEDAGAMJAM_SPI,16,80
PEDAKURAPADU_SPI,16,80
PIDUGURALLA_SPI,16,79
PIDUGURALLA_SPI,16,79
RAVINDRAPADU_SPI,16,80
RENTACHINTALA_SPI,16,79
RENTACHINTALA_SPI,16,79
SATHENAPALLI_SPI,16,80
TADEPALLE_SPI,16,80
THULLUR_SPI,16,80
AGIRIPALLI_SPI,16,80
AKUMARRU_SPI,16,81
AVANIGADDA_SPI,16,80
BANDARTIDAL_SPI,16,81
BANDUR_SPI,16,81
CHALLAPALLI_SPI,16,80
CHANDARLAPADU_SPI,16,80
CHANDRAGUDAM_SPI,16,80
CHATRAI_SPI,17,80
CHATRAI_SPI,17,80
CHIMALAPADU_SPI,16,80
ENANUMANDI_SPI,16,81
GAMPALAGUDEM_SPI,16,80
GANAVARAM_SPI,16,80
GANNAVARAM_SPI,16,80
GANNAVARAM_SPI,16,80
GHANTASALA_SPI,16,80
GUDIVADA_SPI,16,80
IBRAHIMPATNAM_SPI,16,80
IPPALAVAGU%ANICUPWD_SPI,17,80
JAGGAIAHPET_SPI,16,80
JAGGIAYAPET_SPI,16,80
KAIKALUR_SPI,16,81
KAKKIPADU_SPI,16,80
KANCHIKACHERLA_SPI,16,80
KAVUTARAM_SPI,16,81
KESARIPALLI_SPI,16,80
KODERU_SPI,16,81
KODURU_SPI,16,81
KOLLETIKOTA_SPI,16,81
KOMATIGUNTA_SPI,16,80
KONAYAGANDI_SPI,16,80
LAKSHMIPURAM_SPI,16,80
MANGINAPUDI_SPI,16,81
MARUSUMALLI_SPI,16,80
MASULIPATNAM_SPI,16,81
MUNGAPADU_SPI,16,80
MUSULIPATNAM_SPI,16,81
MUTCHINTALA_SPI,16,80
NANDIGAMA_SPI,16,80
NANDIGAMA_SPI,16,80
NANDIWADA_SPI,16,80
NIDUMOLU_SPI,16,81
NIMMAGADDA_SPI,16,80
NUZIVEEDU_SPI,16,80
NUZVIDU_SPI,16,80
PALERU_SPI,16,80
PAMARRU_SPI,16,80
PAMARRU_SPI,16,80
PEDANA_SPI,16,81
PENAMALURU_SPI,16,80
PENDRAKA_SPI,16,81
PENUGANCHIPROLU_SPI,16,80
PERIKEDU_SPI,16,80
POLAMPALLI_SPI,17,80
POLAVARAM_SPI,16,81
PRAKASAN_SPI,16,80
PULIGADDA_SPI,16,80
RAMANAKKAPET_SPI,16,80
